Locality_C,Residential,Commercial,Vacant_Land,ARV_Total,Annual Rates,Outstanding,No.Of Ratepayer,Last_update,Zone_Code,Remark
A01,50,,11,"RM80,650","RM20,788.90","RM23,479.70",27,31/12/2025,MK7,
A02,50,,8,"RM70,150","RM18,630.10","RM15,322.73",16,31/12/2025,MK7,
A03,21,1,3,"RM23,760","RM6,149.60","RM7,324.83",8,31/12/2025,MK7,
A04,73,1,6,"RM83,740","RM2,247.90","RM28,834.24",25,31/12/2025,MK7,
A05,34,,5,"RM38,122","RM9,883.60","RM10,924.28",16,31/12/2025,MK7,
A06,38,,8,"RM38,120","RM10,800.80","RM10,326.18",21,31/12/2025,MK7,
A07,48,,13,"RM111,590","RM29,219.40","RM17,905.66",17,31/12/2025,MK7,
A08,21,1,4,"RM42,710","RM11,096.30","RM6,743.15",8,31/12/2025,MK7,
A09,57,,4,"RM125,460","RM32,603.80","RM25,599.55",17,31/12/2025,MK7,
A10,59,,8,"RM105,550","RM27,379.60","RM2,377.76",20,31/12/2025,MK7,
A11,55,1,20,"RM100,030","RM26,391.10","RM22,296.20",31,31/12/2025,MK7,
A12,16,77,4,"RM744,510","RM194,865.90","RM93,308.95",28,31/12/2025,MK7,
A13,39,1,9,"RM70,960","RM18,413.40","RM25,205.45",11,31/12/2025,MK7,
A14,23,2,1,"RM31,200","RM8,503.00","RM10,500.15",11,31/12/2025,MK7,
A15,19,,5,"RM32,240","RM8,349.70","RM14,164.00",8,31/12/2025,MK7,
A16,94,12,26,"RM260,580","RM78,050.50","RM84,880.15",45,31/12/2025,MK7,
A17,75,1,24,"RM169,910","RM44,240.40","RM46,100.63",33,31/12/2025,MK7,
A18,,71,3,"RM616,870","RM164,990.00","RM8,957.65",7,31/12/2025,MK7,
A19,30,,8,"RM67,080","RM17,369.50","RM5,655.76",6,31/12/2025,MK7,
A20,34,,4,"RM77,900","RM20,234.40","RM17,756.25",11,31/12/2025,MK7,
A21,11,,7,"RM36,270","RM9,352.90","RM4,273.76",6,31/12/2025,MK7,
A22,21,1,4,"RM33,950","RM8,804.30","RM8,875.87",12,31/12/2025,MK7,
A23,14,,2,"RM20,010","RM5,190.60","RM10,133.15",8,31/12/2025,MK7,
A24,,11,,"RM431,300","RM224,525.60","RM485,314.44",9,31/12/2025,MK7,
A25,66,4,,"RM174,410","RM45,346.60","RM42,253.00",32,31/12/2025,MK7,
A26,,36,,"RM69,890","RM18,171.40","RM10,096.45",6,31/12/2025,MK7,
,,,,,,,,,,
B01,3,,1,"RM12,200","RM3,152.50","RM3,081.00",3,31/12/2025,MK8,
B02,1,25,12,"RM2,144,670","RM594,048.90","RM24,525.79",9,31/12/2025,MK8,
B04,15,82,24,"RM1,420,920","RM414,598.70","RM235,152.99",29,31/12/2025,MK7/MK8,
B05,28,11,10,"RM328,960","RM87,768.30","RM20,947.59",10,31/12/2025,MK8,
B06,64,26,12,"RM285,625","RM77,497.20","RM6,151.78",24,31/12/2025,MK8,
B07,106,,16,"RM76,030","RM20,004.80","RM16,034.95",63,31/12/2025,MK8,
B08,10,1,,"RM11,560","RM3,005.60","RM1,152.05",7,31/12/2025,MK8,
B09,22,9,2,"RM167,410","RM48,881.40","RM7,548.13",6,31/12/2025,MK8,
B10,60,,16,"RM167,350","RM43,450.60","RM10,315.10",22,31/12/2025,MK8,
B11,2,65,1,"RM713,640","RM188,111.10","RM202,674.77",17,31/12/2025,MK8,
B12,,26,,"RM727,330","RM215,026.10","RM10,051.70",6,31/12/2025,MK8,
B14,,138,,"RM772,800","RM491,530.00","RM193,573.16",39,31/12/2025,MK8,
B15,,129,,"RM2,562,830","RM738,286.30","RM40,967.55",10,31/12/2025,MK8,
B16,,1,,"RM6,215,390","RM1,616,001.40","RM1,544,111.40",1,31/12/2025,MK8,Hikmah Exchange
,,,,,,,,,,
C02,66,114,13,"RM943,380","RM248,265.62","RM62,642.94",29,31/12/2025,MK8,
C03,88,182,14,"RM1,523,780","RM400,831.20","RM90,540.03",48,31/12/2025,MK8,
C04,219,8,9,"RM876,690","RM230,545.50","RM83,952.85",35,31/12/2025,MK8,
C05,16,,,"RM48,890","RM12,711.40",,,31/12/2025,MK8,
C06,19,65,1,"RM589,240","RM159,231.30","RM88,662.58",10,31/12/2025,MK8,
C07,133,6,3,"RM459,480","RM119,805.20","RM44,891.56",19,31/12/2025,MK8,
C08,22,,2,"RM63,840","RM18,567.80","RM5,454.50",2,31/12/2025,MK8,
C09,26,1,1,"RM53,070","RM15,505.80","RM6,974.80",5,31/12/2025,MK8,
C10,19,,,"RM65,910","RM17,136.60","RM18,332.38",5,31/12/2025,MK8,
C11,1,59,,"RM616,270","RM160,693.00","RM13,301.11",7,31/12/2025,MK8,
C12,5,21,2,"RM124,990","RM32,612.90","RM26,952.70",3,31/12/2025,MK8,
C13,4,14,,"RM722,560","RM188,657.40",,,31/12/2025,MK8,
C19,67,,11,"RM45,600","RM12,333.00","RM19,454.21",50,31/12/2025,MK8,
C21,,20,5,"RM132,210","RM34,080.48","RM11,472.20",7,31/12/2025,MK8,
C22,46,,13,"RM27,500","RM7,218.70","RM6,415.52",41,31/12/2025,MK8,
C23,1,,,RM780,RM150.80,,,31/12/2025,MK8,
